CODE_COMMUNE,CODE_EPCI
01001,200069193
01002,240100883
01004,240100883
01005,200042497
01006,200040350
01007,240100883
01008,240100883
01009,200040350
01010,200070852
01011,200042935
01012,200042935
01013,240100883
01014,200042935
01015,200040350
01016,200071371
01017,240100883
01019,200040350
01021,200042497
01022,200040350
01023,200071371
01024,200071751
01025,200071371
01026,200071371
01027,240100610
01028,200069193
01029,200071751
01030,200042497
01031,200042935
01032,240100610
01033,240100891
01034,200040350
01035,200042935
01036,200040350
01037,240100883
01038,200071751
01040,200071751
01041,240100883
01042,200070555
01043,240100800
01044,240100891
01045,200069193
01046,200070555
01047,240100883
01049,240100610
01050,200071371
01051,200042935
01052,200069193
01053,200071751
01054,240100883
01056,200029999
01057,200071371
01058,200040350
01060,200042935
01061,200040350
01062,240100610
01063,200042935
01064,240100883
01065,200071751
01066,200040350
01067,200042935
01068,200029999
01069,200071751
01071,240100750
01072,200071751
01073,200040350
01074,200069193
01075,200070118
01076,240100883
01077,200029999
01078,240100750
01079,200040350
01080,200042935
01081,240100891
01082,240100891
01083,200069193
01084,200070555
01085,200069193
01087,200042935
01088,240100883
01089,240100883
01090,200069193
01092,200069193
01093,200069193
01094,200071371
01095,200071751
01096,200070555
01098,200040350
01099,240100883
01100,200040350
01101,200042935
01102,200071371
01103,240100750
01104,240100750
01105,200042497
01106,200071751
01107,240100883
01108,200071751
01109,240100750
01110,200040350
01111,240100883
01112,200042935
01113,200069193
01114,240100891
01115,200071751
01116,200040350
01117,200040350
01118,200070852
01121,200042935
01123,200070555
01124,200071751
01125,200071751
01127,200071751
01128,200071751
01129,200069193
01130,200071751
01133,200040350
01134,200070555
01135,240100750
01136,200070555
01138,200040350
01139,200071751
01140,200071751
01141,200040350
01142,240100610
01143,240100750
01145,200071751
01146,200069193
01147,200071751
01148,200042935
01149,240100883
01150,200071751
01151,200071751
01152,200042935
01153,240100750
01155,200042935
01156,240100883
01157,200042497
01158,240100750
01159,200071371
01160,240100750
01162,200040350
01163,200071751
01165,200070118
01166,200042497
01167,200070118
01169,200070118
01170,200042935
01171,200042935
01173,240100750
01174,240100891
01175,200071371
01177,200071751
01179,200070555
01180,240100750
01181,200042935
01183,200070118
01184,200071751
01185,200042935
01187,200040350
01188,200070118
01189,240100891
01190,240100883
01191,200042935
01192,200042935
01193,200040350
01194,200040590
01195,200071751
01196,200071751
01197,200071751
01198,240100883
01199,200029999
01200,200029999
01202,240100883
01203,200070555
01204,200042935
01206,200042935
01207,200069193
01208,200040350
01209,240100750
01210,240100750
01211,200071751
01212,200071751
01213,240100883
01214,200042935
01215,240100891
01216,240100883
01219,240100883
01224,240100883
01225,200070118
01227,200040350
01228,200042935
01229,200071751
01230,200071751
01231,200071371
01232,200071751
01233,240100883
01234,200040350
01235,200069193
01236,200071751
01237,200042935
01238,200042497
01239,200040350
01240,200042935
01241,200071751
01242,200029999
01243,200070118
01244,240100883
01245,200071751
01246,200070555
01247,240100750
01248,200069193
01249,240100800
01250,200042497
01252,200070118
01254,200071751
01255,240100883
01257,240100891
01258,200070118
01259,200071751
01260,240100883
01261,200069193
01262,240100610
01263,200070118
01264,200071751
01265,200042935
01266,200071751
01267,200042935
01268,200040350
01269,200042935
01272,200069193
01273,200029999
01274,200042935
01275,240100800
01276,240100610
01277,240100883
01279,240100883
01280,240100883
01281,240100750
01282,200042935
01283,200042935
01284,200071371
01285,200042497
01286,200040350
01288,240100750
01289,200071751
01290,240100883
01291,200070555
01293,200042935
01294,200040350
01295,200070118
01296,200071751
01297,240100610
01298,240100891
01299,200069193
01301,200071751
01302,200040350
01303,200029999
01304,200029999
01305,200071371
01306,200070555
01307,200042935
01308,240100750
01309,200071751
01310,200040350
01311,200042935
01313,240100750
01314,200029999
01317,200071751
01318,200042497
01319,200069193
01320,200071371
01321,200071751
01322,200042497
01323,200071371
01325,240100883
01328,200069193
01329,200040350
01331,200029999
01332,200071371
01333,200069193
01334,200070555
01335,200069193
01336,200071751
01337,200071371
01338,200040350
01339,200042497
01342,240100610
01343,200070555
01344,200071751
01345,240100883
01346,200071751
01347,200042497
01348,200070118
01349,240100883
01350,200071751
01351,200070118
01352,200071371
01353,200042497
01354,240100750
01355,200070555
01356,200069193
01357,240100891
01358,200040350
01359,200069193
01360,240100750
01361,240100883
01362,200042497
01363,200029999
01364,200071751
01365,200070555
01366,240100883
01367,200071751
01368,200070555
01369,200071751
01370,200070308
01371,200069193
01372,200040350
01373,200042935
01374,200071751
01375,200071751
01376,240100800
01378,240100883
01379,240100883
01380,200071751
01381,200069193
01382,200069193
01383,200069193
01384,240100883
01385,200071751
01386,240100883
01387,200071751
01388,200071751
01389,200069193
01390,240100883
01391,200071751
01392,200042935
01393,200069193
01396,240100883
01397,240100750
01398,200042497
01399,240100750
01400,240100883
01401,240100750
01402,200071371
01403,240100883
01404,200029999
01405,200071751
01406,200071751
01407,200070852
01408,200071751
01410,200042935
01411,240100883
01412,200069193
01415,200040350
01416,240100883
01418,240100800
01419,240100750
01420,200070118
01421,240100883
01422,200071751
01423,200042497
01424,240100800
01425,200071751
01426,200071751
01427,200042497
01428,200069193
01429,200071751
01430,200029999
01431,240100883
01432,200071751
01433,200071751
01434,200069193
01435,240100750
01436,240100750
01437,200071751
01439,200071371
01441,200042935
01443,200069193
01444,240100883
01445,200071751
01446,200042497
01447,200071751
01448,240100891
01449,200069193
01450,240100883
01451,200071751
01452,200040350
01453,200040350
01454,200040350
01456,200040350
01457,200070555
03001,200071363
03002,200071496
03003,240300558
03004,240300491
03005,240300657
03006,200071363
03007,200071082
03008,200071363
03009,200071140
03010,240300566
03011,200071140
03012,200071496
03013,200071140
03014,200071470
03015,200071140
03016,200071389
03017,240300491
03018,200071389
03019,200071470
03020,200071512
03021,200071389
03022,200071389
03023,200071363
03024,240300491
03025,200071140
03026,200071140
03027,200071512
03028,240300491
03029,200071363
03030,200071389
03031,200071512
03032,200071512
03033,200071363
03034,200071470
03035,200071470
03036,200071496
03037,240300558
03038,200071389
03039,200071140
03040,200071140
03041,240300558
03042,240300491
03043,200071389
03044,200071363
03045,200071363
03046,200071496
03047,200071512
03048,240300558
03049,200071389
03050,200071363
03051,240300657
03052,200071512
03053,200071389
03054,200071140
03055,240300657
03056,200071363
03057,200071140
03058,200071512
03059,200071389
03060,200071363
03061,200071389
03062,200071389
03063,200071884
03064,200071140
03065,200071496
03066,200071363
03067,200071470
03068,200071363
03069,200071496
03070,200071512
03071,200071470
03072,240300657
03073,200071140
03074,200071140
03075,200071389
03076,200071140
03077,200071389
03078,200071389
03079,200071470
03080,200071363
03081,200071512
03082,200071512
03083,200071389
03084,200071512
03085,200071140
03086,200071884
03087,240300558
03088,240300657
03089,200071389
03090,200071140
03091,200071470
03092,200071496
03093,200071363
03094,200071363
03095,200071363
03096,200071389
03097,200071512
03098,200071082
03099,200071496
03100,200071470
03101,200071082
03102,200071470
03103,200071470
03104,200071512
03105,240300491
03106,200071512
03107,200071389
03108,200071389
03109,200071389
03110,200071363
03111,240300566
03112,200071389
03113,200071363
03114,200071389
03115,200071389
03116,200071389
03117,200071496
03118,200071389
03119,200071140
03120,200071140
03121,200071140
03122,200071496
03124,200071140
03125,200071363
03126,200071363
03127,240300558
03128,240300657
03129,200071512
03130,240300558
03131,240300491
03132,200071470
03133,200071389
03134,200071389
03135,200071389
03136,200071082
03137,200071470
03138,240300491
03139,200071363
03140,200071082
03141,200071363
03142,200071470
03143,240300558
03144,200071470
03145,200071082
03146,200071140
03147,200071470
03148,200071389
03149,200071389
03150,200071496
03151,200071512
03152,200071389
03154,200071470
03155,200071140
03156,200071140
03157,200071363
03158,240300566
03159,200071512
03160,200071389
03161,200071082
03162,200071140
03163,200071363
03164,200071389
03165,200071363
03166,200071389
03167,200071082
03168,240300558
03169,200071496
03170,200071496
03171,200071470
03172,240300657
03173,200071884
03174,200071363
03175,200071389
03176,200071389
03177,200071470
03178,200071470
03179,200071470
03180,200071140
03181,200071470
03182,200071389
03183,200071496
03184,200071140
03185,200071082
03186,200071512
03187,200071470
03188,200071389
03189,200071512
03190,200071140
03191,200071512
03192,200071389
03193,240300566
03194,200071389
03195,200071512
03196,200071470
03197,200071140
03198,200071140
03200,200071140
03201,200071363
03202,200071496
03203,200071140
03204,200071389
03205,240300491
03206,200071082
03207,200071470
03208,200071470
03209,200071389
03210,200071140
03211,200071082
03212,200071082
03213,240300566
03214,200071496
03215,200071470
03216,200071082
03217,200071512
03218,200071496
03219,200071512
03220,200071389
03221,240300558
03222,240300558
03223,240300491
03224,200071363
03225,240300657
03226,200071470
03227,200071389
03228,240300657
03229,200071140
03230,240300491
03231,200071082
03232,200071470
03233,200071082
03234,200071470
03235,200071470
03236,200071363
03237,200071389
03238,200071496
03239,200071470
03240,200071470
03241,200071140
03242,200071389
03243,200071512
03244,200071082
03245,200071140
03246,240300657
03247,200071496
03248,200071363
03249,240300657
03250,240300491
03251,200071496
03252,200071363
03253,200071470
03254,200071389
03255,200071389
03256,200071512
03257,240300491
03258,200071363
03259,240300657
03260,200071496
03261,200071082
03262,200071082
03263,200071470
03264,200071363
03265,200071470
03266,200071470
03267,200071389
03268,200071389
03269,200071512
03270,200071512
03271,200071363
03272,240300491
03273,200071363
03274,200071470
03275,200071140
03276,200071389
03277,200071389
03278,200071389
03279,200071082
03280,200071082
03281,200071389
03282,240300558
03283,200071140
03284,200071470
03285,200071512
03286,200071140
03287,200071496
03288,240300657
03289,200071470
03290,200071140
03291,200071470
03292,200071496
03293,240300558
03294,200071389
03295,200071389
03296,240300558
03297,240300566
03298,200071470
03299,200071470
03300,200071470
03301,240300566
03302,200071389
03303,200071512
03304,200071363
03305,200071512
03306,200071363
03307,200071389
03308,200071512
03309,200071140
03310,200071363
03311,200071389
03312,200071496
03313,240300558
03314,200071082
03315,200071512
03316,200071140
03317,240300657
03319,200071512
03320,200071496
03321,200071140
07001,200041465
07002,200073245
07003,200073245
07004,200071413
07005,200071405
07006,200041465
07007,200041366
07008,200071413
07009,200040491
07010,200072015
07011,200073245
07012,200041465
07013,200072015
07014,200073096
07015,200040491
07017,200039832
07018,200072007
07019,200073245
07020,200071405
07022,200071405
07023,200039808
07024,200039832
07025,200039824
07026,200072007
07027,200071413
07028,200039832
07029,240700302
07030,200071413
07031,200039832
07032,240700815
07033,200039808
07034,240700864
07035,200041366
07036,200072015
07037,200072007
07038,200072007
07039,200073096
07040,200073096
07041,200072015
07042,240700864
07044,200072015
07045,200039824
07047,200072007
07048,200071413
07049,200041465
07050,200039832
07051,200040491
07052,200041366
07053,240700302
07054,200041465
07055,200041366
07056,200072015
07058,240700617
07059,200041366
07060,200071413
07061,200039808
07062,240700617
07063,200073096
07064,200041465
07065,200039824
07066,200071413
07067,200072015
07068,200073096
07069,200073096
07070,200041366
07071,200072007
07072,200071413
07073,200016905
07074,200071413
07075,200072007
07076,200071405
07077,240700815
07078,200072015
07079,200016905
07080,200041465
07081,240700302
07082,200041465
07083,200071413
07084,200040491
07085,200016905
07086,200073096
07087,200039824
07088,240700302
07089,200072015
07090,200071413
07091,200073245
07092,200071413
07093,200073245
07094,200071413
07095,200016905
07096,200071413
07097,200073096
07098,200071413
07099,240700864
