Vasculaire Interventionnel - Liste des établissements actifs*;;;;;;;;;;;
Auvergne-Rhône-Alpes;;;;;;;;;;;
"*sur la période 2018Q1-2020Q1 - La base de données IHMT ""Groupements / Centrales d'achats"" est mise à jour tous les trimestres";;;;;;;;;;;
Production : IHMT. Licence Creative Commons Attribution CC-BY-NC-ND;;;;;;Source : Data.Gouv.fr, finess.sante.gouv.fr, sante.gouv.fr, ihmt.fr;;;;;
Code_IHMT;Nom;Ville;FINESS;New_Reg;Groupements;GHTs;;;;;
01PRAMBE01;HOPITAL PRIVE D'AMBERIEU;AMBERIEU-EN-BUGEY;010780203;Auvergne-Rhône-Alpes;C2S;;;;;;
01PRBOUR01;CL CONVERT;BOURG-EN-BRESSE;010780195;Auvergne-Rhône-Alpes;RAMSAY SANTE;;;;;;
01PUBOUR01;CH FLEYRIAT;BOURG-EN-BRESSE;010780054;Auvergne-Rhône-Alpes;CH [RESAH] [UNIHA];ARA-03 Bresse Haut-Bugey;;;;;
01PUOYON01;CH DU HAUT BUGET;OYONNAX;010008407;Auvergne-Rhône-Alpes;CH;ARA-03 Bresse Haut-Bugey;;;;;
03PRDESE01;PCL SAINT FRANCOIS DESERTINES;DESERTINES;030781116;Auvergne-Rhône-Alpes;ELSAN;;;;;;
03PRMOUL01;CL SAINT ODILON;MOULINS;030785430;Auvergne-Rhône-Alpes;C2S;;;;;;
03PUMOUL01;CH MOULINS;MOULINS;030780092;Auvergne-Rhône-Alpes;CH [UNIHA];ARA-01 Allier Puy-de-Dôme;;;;;
03PUVICH01;CH VICHY;VICHY;030780118;Auvergne-Rhône-Alpes;CH [UNIHA];ARA-01 Allier Puy-de-Dôme;;;;;
07PRANNO01;CL DES CEVENNES;ANNONAY;FERME;Auvergne-Rhône-Alpes;CLINIQUE;;;;;;
07PRAUBE01;CL DU VIVARAIS;AUBENAS;070780168;Auvergne-Rhône-Alpes;CLINIQUE;;;;;;
07PRGUIL01;CH PRIVE DROME ARDECHE;GUILHERAND-GRANGES;070000245;Auvergne-Rhône-Alpes;RAMSAY SANTE;;;;;;
07PUAUBE01;CH AUBENAS;AUBENAS;070005566;Auvergne-Rhône-Alpes;CH [UNIHA];ARA-15 Sud Drôme Ardèche;;;;;
15PRAURI01;CMC DE TRONQUIERES;AURILLAC;150000271;Auvergne-Rhône-Alpes;ELSAN;;;;;;
