FID,osm_id,amenity,name,short_name,official_name,alt_name,old_name,operator,operator-type,emergency,capacity,wheelchair,ref-FR-FINESS,type-FR-FINESS,ref-FR-NAF,ref-FR-SIRET,contact-website,url,phone,contact-phone,fax,contact-fax,email,contact-email,addr-housename,addr-housenumber,addr-street,addr-city,addr-postcode,wikidata,wikipedia,description,opening_hours,source,note,osm_type,osm_version,osm_timestamp,healthcare-speciality,the_geom,osm_original_geom
hospitals_point.199789928,199789928,hospital,Établissement Public de Santé de Fresnes,EPSNF,,,,,,,80,,940806490,433,,,,,,,,,,,,,,,,,,,,extraction vectorielle v1 cadastre-dgi-fr source : Direction Générale des Impôts - Cadas. Mise à jour : 2010,Prison Hôpital,way,2,2020-06-09T10:14:16Z,,POINT (258310.14044964363 6235141.052489291),"SRID=3857;POLYGON((258275.23376428554 6235067.38568553,258329.9695579086 6235061.812535099,258330.30351638098 6235065.15642492,258323.42397185 6235065.882623386,258323.88038176225 6235070.324257233,258330.70426654784 6235069.648723418,258331.07162086744 6235073.330383362,258331.90651704837 6235073.229053251,258345.00882111478 6235202.5948148705,258344.24071662832 6235202.679257915,258344.6525987442 6235206.648082099,258337.85097785675 6235207.28984959,258338.3296516672 6235212.136884565,258345.13127255463 6235211.444450825,258345.4763629761 6235214.923508712,258290.7628332512 6235220.142098219,258290.58472206598 6235216.544817729,258296.8074816013 6235216.139490446,258296.5291828743 6235211.782223375,258289.7832217322 6235212.221327708,258289.54945080157 6235208.843602661,258288.7256865697 6235208.151169195,258282.90367720122 6235154.377972007,258281.4008640755 6235154.513080116,258279.2635298523 6235133.351798869,258280.94445416323 6235133.166025682,258275.46753521622 6235078.954206453,258276.35809114258 6235078.852876278,258276.02413267017 6235075.373874206,258282.24689220559 6235074.732116696,258281.76821839515 6235070.206038812,258275.58998665606 6235070.847795976,258275.23376428554 6235067.38568553))"
hospitals_point.-13317341,-13317341,hospital,,,,,,,,,,,,,,,,,,,,,,,,,,,,Q108872290,,,,,,way,3,2021-10-12T07:00:41Z,,POINT (783145.2722269081 5400449.202305329),"SRID=3857;POLYGON((782890.6759493895 5400491.959411171,782898.0898274763 5400464.053778876,782908.8321583378 5400442.77118086,782941.537824733 5400408.442530258,783025.5617763837 5400347.222907239,783042.0593249191 5400312.833146083,783173.2716087173 5400320.66994368,783266.134327937 5400340.215867788,783377.709853559 5400397.163583328,783387.9623786611 5400403.187215398,783395.376256748 5400412.053640149,783400.8197798479 5400424.19312629,783403.101829409 5400435.164776837,783402.6231555988 5400444.86102225,783384.2665715668 5400496.06228381,783312.576819496 5400521.386421863,783293.351943436 5400582.269129629,783177.4015618258 5400577.305683382,783171.1676703413 5400519.772927991,783069.2101487237 5400510.368569303,783059.6812003119 5400548.954160655,783048.6383068251 5400559.480325619,783032.2854736276 5400567.332698814,783009.0976236954 5400572.004172527,782979.9207851584 5400572.43443996,782956.9110464114 5400569.099867868,782935.8939265497 5400561.769960169,782915.7896265124 5400545.189330838,782903.4888227799 5400527.456234668,782894.0934577568 5400511.029332752,782890.6759493895 5400491.959411171))"
hospitals_point.38072526,38072526,hospital,Hôpital Bichat-Claude Bernard,,,Hopital Xavier Bichat,,Assistance publique - Hôpitaux de Paris,public,yes,,yes,750100232,101,,26750045200201,,,+33 1 40 25 80 80,,+33 1 40 25 83 05,,,,,46,Rue Henri Huchard,Paris,,Q3145138,,,,,,way,18,2023-10-13T14:15:47Z,intensive,POINT (259592.22219624888 6257717.90984779),"SRID=3857;POLYGON((259309.3250420606 6257581.01155409,259310.68313984826 6257579.809291655,259310.23786188508 6257579.301293496,259317.25098980503 6257573.28998425,259318.38644861116 6257572.324788516,259319.33266428288 6257571.020927786,259319.5441713154 6257570.665329441,259328.79482100037 6257554.883551226,259330.00820345 6257552.817698318,259329.87462006102 6257552.597566477,259330.35329387145 6257551.192109494,259332.11214182593 6257542.708572905,259332.5796836873 6257540.422591441,259345.97141842972 6257541.336983952,259542.606166967 6257547.568402207,259738.9737487263 6257553.901424372,259748.1576067168 6257559.692587824,259751.87567770926 6257562.029374199,259755.96110302137 6257570.174265084,259782.56646132097 6257623.277113796,259797.0936548695 6257652.2162746,259810.90840367693 6257679.800856434,259812.24423756642 6257682.476345518,259830.845724478 6257724.251338593,259830.89025227432 6257730.87236372,259819.6581156533 6257746.400465988,259779.05989736097 6257745.028844032,259778.70367499042 6257810.223466839,259773.15996434892 6257946.287108979,259517.85984416367 6257938.141856156,259519.19567805316 6257902.224940837,259521.73376244327 6257834.489541696,259523.45921455053 6257788.02337136,259519.1622822059 6257788.091106118,259519.61869211818 6257783.586745993,259492.8908823787 6257781.859510788,259491.92240280882 6257780.216944305,259484.30814963853 6257779.810536154,259484.18569819868 6257778.760648514,259482.20421126252 6257778.6590464935,259475.0129721573 6257778.235704743,259475.04636800455 6257772.004116668,259475.79220859284 6257748.500233367,259475.9035280837 6257744.0974959135,259476.11503511615 6257735.5290980525,259358.48372919488 6257732.227049808,259352.183046016 6257703.948022733,259337.04359526813 6257706.606585924,259323.02847137724 6257643.10610096,259321.24735952454 6257635.011940043,259317.65173997197 6257618.992974935,259316.57194091124 6257614.048437916,259309.3250420606 6257581.01155409))"
hospitals_point.106491473,106491473,hospital,Unité de Santé Mentale pour Adultes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cadastre-dgi-fr source : Direction Générale des Impôts - Cadastre. Mise à jour : 2011,,way,4,2019-12-23T23:21:24Z,,POINT (209790.92290423455 6613791.652966853),"SRID=3857;POLYGON((209736.71864513436 6613827.298082618,209757.98066787588 6613798.314804257,209757.4240704219 6613797.961350275,209762.9900449616 6613790.5388201475,209765.32775426825 6613792.306088614,209768.4447000104 6613787.887918159,209764.65983732344 6613785.237017024,209766.7749076485 6613782.409390089,209763.21268394316 6613779.758490724,209766.66358815774 6613774.81014753,209770.3371313539 6613777.4610453,209772.3408821882 6613774.9868740225,209776.01442538438 6613777.814498401,209779.91060756214 6613773.042882826,209777.23893978307 6613770.922165687,209780.35588552532 6613762.969481281,209780.91248297927 6613763.146207518,209793.82554391128 6613729.5682908725,209837.35146481148 6613746.887409679,209827.66666911246 6613771.805797763,209835.79299194037 6613774.9868740225,209826.10819624137 6613799.375166295,209823.3252089715 6613798.138077264,209820.6535411925 6613805.560614257,209816.8686785055 6613803.793342934,209813.9743717449 6613811.2158850385,209808.18575822364 6613808.741703593,209805.29145146304 6613815.987522795,209803.73297859187 6613815.103885965,209774.23331353167 6613855.221093883,209736.71864513436 6613827.298082618))"
hospitals_point.783827208,783827208,hospital,Polyclinique de Bordeaux Tondu,,,,,NOUVELLE CLINIQUE BORDEAUX TONDU (NCBT) SAS,,,,,330781402,365,86.10Z,35321284800033,,,+33 5 56 00 26 26,,,,,,,46,Avenue Jean Alfonsea,Floirac,33270,,,,,,,way,6,2025-08-04T21:07:38Z,radiology;anaesthetics;paediatric_surgery;gynaecology;cardiology;hepatology;gastroenterology;dental_oral_maxillo_facial_surgery;oncology;ophthalmology;orthodontics;otolaryngology;plastic_surgery;physiatry;urology,POINT (-58997.18237088015 5594123.170269007),"SRID=3857;POLYGON((-59124.68699901731 5594144.946086948,-59067.93632261088 5594087.878093736,-58993.419055473874 5594012.949432502,-58964.14202939524 5594030.810460481,-58959.35529129113 5594033.729753116,-58875.48718692747 5594084.958783628,-58912.70129269966 5594135.073737838,-58959.232839851255 5594198.655621684,-58989.522873296104 5594239.526562502,-59050.114072134886 5594197.180253231,-59062.79336213624 5594188.390829149,-59124.68699901731 5594144.946086948))"
hospitals_point.504114651,504114651,hospital,Centre hospitalier de la Côte Basque - Site de Saint-Leon,,,,,,public,yes,,yes,640000162,355,,,,,+33 5 59 44 35 35,,+33 5 59 63 35 88,,,,,13,Avenue Interne Jacques Loeb,Bayonne,64100,Q2945716,,,,Le ministère des solidarités et de la santé - 08/2018,,way,11,2025-09-11T08:52:12Z,general;paediatrics;gynaecology;radiology;oncology;surgery;dermatology;cardiology;maternity;geriatrics;neurology;emergency;orthopaedics;intensive,POINT (-164843.3440358582 5385681.71318764),"SRID=3857;POLYGON((-165034.0394077887 5385605.807362535,-165031.80188602375 5385582.303633201,-165026.79250893806 5385552.663244889,-165022.47331269528 5385543.857060829,-165020.1578672868 5385543.5348835215,-165020.5920133009 5385541.893313609,-165012.8219128435 5385540.098326279,-164901.61374154102 5385515.260033008,-164862.7298434069 5385500.716084892,-164854.5144649864 5385500.117758403,-164833.16338665225 5385503.094049534,-164688.8042709915 5385551.911497142,-164681.26794146482 5385568.4192780135,-164659.80554363987 5385594.0554904165,-164654.1950413039 5385598.581340184,-164646.5807881336 5385605.301080527,-164641.3153762191 5385612.726552693,-164635.33751956353 5385621.425408849,-164631.98680289063 5385627.040547846,-164629.17041977355 5385632.302826005,-164626.43196030002 5385637.795236133,-164602.19770715435 5385695.726553447,-164599.3701920882 5385702.630468693,-164658.49197364852 5385726.441344724,-164644.46571780855 5385762.418589821,-164672.67407677555 5385773.096724409,-164723.8253827951 5385795.557668348,-164732.0852890119 5385799.193768901,-164738.38597219085 5385801.986049618,-164851.3307275497 5385851.879031484,-164877.41288424257 5385863.416438218,-164910.6528841934 5385878.114378769,-164917.02035906678 5385880.891340926,-164957.10650770145 5385898.611754404,-164960.3793007308 5385892.904396756,-164979.2256905221 5385871.747313977,-164982.45395575507 5385868.3106350405,-164983.84544939 5385864.152868924,-164984.1348800661 5385863.3857536055,-164986.03844335862 5385858.092659657,-164990.5357507867 5385845.665407477,-164991.97177221792 5385841.630389675,-165001.01091487033 5385816.499786014,-165010.89608565278 5385789.175318086,-165018.55486661935 5385737.840516438,-165019.03354042975 5385714.044953178,-165012.46569047298 5385689.865900541,-165010.52873133315 5385675.674544323,-165012.91096843613 5385665.533491193,-165022.47331269528 5385651.342172232,-165026.64779360004 5385631.643123332,-165027.0930715632 5385607.97056777,-165034.0394077887 5385605.807362535))"
hospitals_point.1179093135,1179093135,hospital,Clinique d'Épernay,,,,,,,,,,510000243,365,,,,,,,,,,,,,,,,,,,,,,node,3,2020-03-29T05:14:38Z,,POINT (439798.4170860825 6283098.678068375),
hospitals_point.699121417,699121417,hospital,Centre hospitalier de Martigues,,,Hôpital des Rayettes,,,public,yes,,,130002835,355,,,,,+33 4 42 43 22 22,,+33 4 42 80 24 60,,,,,,,,,,,,,cadastre-dgi-fr source : Direction Générale des Impôts - Cadastre. Mise à jour : 2010,,way,5,2024-12-02T12:05:52Z,intensive;general;maternity;gynaecology,POINT (560896.296879897 5375021.14118818),"SRID=3857;POLYGON((560685.3839670238 5375034.882627837,560688.1446903956 5375016.600632661,560722.330906018 5374983.162910684,560738.3052529469 5374991.821154359,560746.8211939926 5374960.758784903,560788.2431765168 5374971.960841034,560782.9443687551 5374961.662917522,560767.7158624146 5374886.712154776,560782.7217297734 5374794.261965931,560901.4773625517 5374833.568124633,560912.8319506126 5374836.847476392,560917.796799902 5374840.586551773,560995.8762907444 5374861.93302327,561036.4745090368 5374890.742409385,561051.3690569049 5374911.491352438,561063.6809925867 5374930.278840158,561144.2317761246 5375063.478008519,561128.4021445338 5375086.755878104,560966.8664314437 5375159.915276912,560866.2447437156 5375221.121970278,560861.101783241 5375223.7424962055,560832.7375769869 5375215.528452497,560816.3847437894 5375212.248966929,560810.1174564577 5375212.310265715,560791.4491778517 5375212.310265715,560769.6528215543 5375201.567659813,560748.0902361877 5375194.4723363435,560742.2682268192 5375191.42272814,560739.0510935353 5375187.085849858,560735.4666059318 5375171.561987667,560730.9915624019 5375156.329318914,560710.6868872811 5375117.221012226,560709.6404840676 5375089.146498695,560699.2655075258 5375087.506778096,560685.9071686305 5375054.436587095,560685.539814311 5375040.690578519,560685.3839670238 5375034.882627837))"
hospitals_point.4186127827,4186127827,hospital,CHS de l'Yonne,,,,,,,,,,890975519,292,,,,,,,,,,,,,,,,,,"Ancien asile des aliénés, aujourd'hui Centre Hospitalier Spécialisé de l'Yonne",,,,node,4,2020-11-07T15:14:47Z,,POINT (397379.9358761713 6074479.220134543),
hospitals_point.205305142,205305142,hospital,Centre hospitalier de l’Ouest Vosgien - Site de Neufchâteau,,,Hôpital Champ le Roy,,,public,yes,,,880000054,355,,,,,+33 3 29 94 80 00,,+33 3 29 94 25 54,,,,,,,,,,,,,,,way,13,2023-04-17T15:10:29Z,,POINT (635435.0011525983 6168449.963210865),"SRID=3857;POLYGON((635111.0128992202 6168447.840531129,635169.4667638357 6168385.606725762,635147.625879742 6168364.309262249,635153.1807223327 6168358.679099816,635214.5511576069 6168296.362163152,635292.2966899769 6168217.390049383,635351.8192217042 6168199.662058089,635378.59155924 6168191.686149634,635417.6758324574 6168148.271198826,635520.6797572884 6168232.420331719,635535.6188329529 6168249.729485649,635537.2107016713 6168251.572669647,635609.3679956035 6168335.203373286,635676.3378012646 6168412.802541255,635765.8831996588 6168516.576403147,635770.269187596 6168521.653696979,635640.1923626042 6168616.933111142,635578.2208020795 6168660.149362147,635563.5934209892 6168668.829504098,635441.7987661123 6168753.151342564,635411.8092952926 6168721.982998362,635325.3251828953 6168642.152339204,635320.8278754674 6168637.6447109105,635317.833381165 6168632.684646842,635315.4734079601 6168628.009453955,635314.3156852559 6168623.31750668,635313.1802264499 6168616.313104478,635312.657024843 6168608.253021981,635309.5957388462 6168600.125919474,635286.7195834882 6168579.129544089,635282.6341581761 6168577.738724561,635280.3855044622 6168575.241952722,635275.4206551728 6168560.512689415,635270.3778822398 6168552.586714109,635263.954747621 6168546.152101089,635257.1531267335 6168539.968844716,635246.700226548 6168534.858026437,635235.1007356074 6168531.322347381,635218.5586592755 6168527.568831889,635208.1502868864 6168524.854236887,635197.4970116174 6168520.8828865,635188.3354175251 6168515.420188145,635180.4094697807 6168508.985603153,635154.8393827454 6168486.464593895,635111.0128992202 6168447.840531129))"
